Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
6821511,000000FD,false,Rx,0,8,78,D9,1F,80,00,00,03,00,
6841800,000000FD,false,Rx,0,8,34,DA,1F,80,00,00,03,00,
6861203,000000FD,false,Rx,0,8,1B,DB,1F,80,00,00,03,00,
6881920,000000FD,false,Rx,0,8,82,DC,1F,80,00,00,03,00,
6901441,000000FD,false,Rx,0,8,0B,DD,1F,80,00,00,03,00,
6921460,000000FD,false,Rx,0,8,F4,DE,1F,80,00,00,03,00,
6941208,000000FD,false,Rx,0,8,63,DF,1F,80,00,00,03,00,
6961510,000000FD,false,Rx,0,8,19,D0,1F,80,00,00,03,00,
6981220,000000FD,false,Rx,0,8,13,D1,1F,80,00,00,03,00,
7001920,000000FD,false,Rx,0,8,DC,D2,1F,80,00,00,03,00,
7022010,000000FD,false,Rx,0,8,A9,D3,1F,80,00,00,03,00,
7041692,000000FD,false,Rx,0,8,3F,D4,1F,80,00,00,03,00,
7061301,000000FD,false,Rx,0,8,A5,D5,1F,80,00,00,03,00,
7081488,000000FD,false,Rx,0,8,B7,D6,1F,80,00,00,03,00,
7101474,000000FD,false,Rx,0,8,8D,D7,1F,80,00,00,03,00,
7121735,000000FD,false,Rx,0,8,4A,D8,1F,80,00,00,03,00,
7141400,000000FD,false,Rx,0,8,78,D9,1F,80,00,00,03,00,
7162101,000000FD,false,Rx,0,8,34,DA,1F,80,00,00,03,00,
7181535,000000FD,false,Rx,0,8,1B,DB,1F,80,00,00,03,00,
7202261,000000FD,false,Rx,0,8,82,DC,1F,80,00,00,03,00,
7221960,000000FD,false,Rx,0,8,0B,DD,1F,80,00,00,03,00,
7243083,000000FD,false,Rx,0,8,F4,DE,1F,80,00,00,03,00,
7261713,000000FD,false,Rx,0,8,63,DF,1F,80,00,00,03,00,
7283198,000000FD,false,Rx,0,8,19,D0,1F,80,00,00,03,00,
7301940,000000FD,false,Rx,0,8,13,D1,1F,80,00,00,03,00,
